date,Y_Target_Spread
2023-11-28,2.79264734526895
2023-11-29,-1.2615774661542265
2023-11-30,4.752382224948583
2023-12-01,3.352235593745156
2023-12-02,-1.3717206919968694
2023-12-03,1.4083302673141151
2023-12-04,0.2093192027134032
2023-12-05,-1.2995280634803237
2023-12-06,0.6874793945811817
2023-12-07,6.806115702464135
2023-12-08,2.153465493008982
2023-12-09,-0.1743845215473998
2023-12-10,0.5987237287932761
2023-12-11,4.496166136939891
2023-12-12,1.4215330693840578
2023-12-13,3.953985936463817
2023-12-14,3.950665181730904
2023-12-15,3.8133209420844754
2023-12-16,0.8349495297800154
2023-12-17,-0.3394796900704966
2023-12-18,0.943257957306213
2023-12-19,1.613592434070762
2023-12-20,-1.278878481415834
2023-12-21,1.3070637050113785
2023-12-22,3.361661613266902
2023-12-23,0.1537020090549727
2023-12-24,0.4836056228235597
2023-12-25,2.251678995214128
2023-12-26,-1.4256550090248474
2023-12-27,1.5854117493527218
2023-12-28,3.322884207057017
2023-12-29,5.12332812826079
2023-12-30,1.1351193825103083
2023-12-31,3.184416197648175
2024-01-01,3.3978796409168206
2024-01-02,2.639672664747378
2024-01-03,5.109020936861291
2024-01-04,0.5773654996690727
2024-01-05,2.379863847436672
2024-01-06,1.3756613576721115
2024-01-07,5.660851518852312
2024-01-08,2.6616663643819534
2024-01-09,-0.0143218192929568
2024-01-10,11.190385773119576
2024-01-11,2.3826109506960886
2024-01-12,4.164502940254516
2024-01-13,1.47669216225429
2024-01-14,2.636254895312434
2024-01-15,2.753703103943153
2024-01-16,-0.5140829142073313
2024-01-17,3.108060385442732
2024-01-18,10.516676311018678
2024-01-19,3.072001321295132
2024-01-20,-0.2919346316720377
2024-01-21,0.7011262543522836
2024-01-22,3.501638952481186
2024-01-23,-0.495792388225917
2024-01-24,-0.5155411161454744
2024-01-25,-0.8213854291676022
2024-01-26,-0.8456999563145127
2024-01-27,-0.8648882602442924
2024-01-28,-0.8571211531134679
2024-01-29,-0.7559188641915728
2024-01-30,5.850643909181341
