date,deposit_apy,borrow_apy,utilization_rate,total_deposit_usd,total_borrow_usd
2023-04-20,3.6957119636736,4.9848199723584,82.73927991445255,238775893.697536,197561455.05464
2023-04-21,3.0783509002512,4.5989693081136,81.19587725829007,240300433.7890513,195114045.27049676
2023-04-22,2.534331620376,4.229280203688,77.98496942602475,257589991.1291225,200881475.826546
2023-04-23,2.5361778702672,4.2312684728016,78.0362422246191,257619898.3754798,201036887.91510695
2023-04-24,4.1018665264848,5.2386665760864,83.75466632665673,247322464.94436824,207144105.2650182
2023-04-25,3.1781827598112,4.6613642207328,83.03874194098215,247713269.20432115,205697982.36814663
2023-04-26,3.9921629339232,5.1701018311296,83.48079526859001,251033570.33835283,209564820.90959224
2023-04-27,4.3523743949712,5.3952339923136,84.38093599614469,261478590.8936588,220638082.42559925
2023-04-28,4.2128930794752,5.308058172888,84.0322327101348,263344354.76750064,221294141.0272291
2023-04-29,4.8956998607712,5.734812407256,85.73917405022165,258257100.25734785,221427504.6867029
2023-04-30,3.8825170238592,5.1015731349744,83.20317673125484,260063545.71145308,216381131.55186805
2023-05-01,3.2104485375408,4.681530332208,81.52612135633856,263909418.800329,215155113.041964
2023-05-02,2.6264712913488,4.3165445541264,80.06617823547403,264545436.1316295,211811420.40696257
2023-05-03,2.7652338099504,4.403271127464,80.4130845347832,263137462.50219256,211596950.16457152
2023-05-04,3.7102202896896,4.9938876761184,82.77555073052568,255913170.39444807,211833536.185953
2023-05-05,2.59083274788,4.2901275722544,79.71793077010118,265983855.83921817,212036826.05755365
2023-05-06,2.59086120912,4.2901582220928,79.71823335603709,265959419.31567752,212018150.522433
2023-05-07,2.5887249510192,4.2878576393568,79.65307552580501,266370449.31654397,212172255.1725329
2023-05-08,3.421075721832,4.8131723216016,82.05268931186778,254286595.82045323,208648990.43028143
2023-05-09,3.4379546815008,4.8237216717888,82.09292390995347,254853036.4600373,209216309.3033444
2023-05-10,3.3568461109584,4.7730288163824,81.89241699416085,255810971.75124672,209489787.703346
2023-05-11,4.83895503252,5.6993468923584,85.59738758736849,254647392.88883093,217971515.8721816
2023-05-12,2.4197398122096,4.1058736420176,74.45353280509052,266103514.24457613,198123467.2735842
2023-05-13,2.325122915904,4.0039785238896,71.54224367984685,266387882.2055925,190579867.8211084
2023-05-14,2.3240555106048,4.0028290083072,71.50940041106321,266587489.8247444,190635115.54457885
2023-05-15,2.311376594256,3.9891747907008,71.1192798903709,261401699.72609496,185907006.4663884
2023-05-16,2.3279199730416,4.0069907353872,71.62830689631302,259717066.75365287,186030937.63640863
2023-05-17,2.3375312344512,4.0173413267808,71.9240380812026,258842473.9115236,186169959.5064511
2023-05-18,2.3333199769296,4.0128061283136,71.78918633423206,259598022.40591252,186363308.02496204
2023-05-19,2.3673963121056,4.0495037200416,72.82774908165305,255858816.4340092,186336216.8358475
2023-05-20,2.3722372773216,4.0547170654992,72.99191633065557,255201991.89359248,186276824.39713743
2023-05-21,2.3701627477872,4.0524829574976,72.92808464488559,254928499.830706,185914472.1404743
2023-05-22,2.4302282348448,4.1171688659088,74.77625341949545,257005480.8364682,192179069.6522703
2023-05-23,2.5315172405136,4.2262493323392,77.89283824988756,255127938.80912688,198726392.7068653
2023-05-24,2.5871987536848,4.2862140398016,79.63593432805506,252310971.4263024,200930199.50752795
2023-05-25,3.2200987112208,4.6875616899696,81.566741370318,246428577.6169541,201003760.56737432
2023-05-26,3.0149363404512,4.5593352102096,81.03734086060047,248103214.234023,201056247.404931
2023-05-27,2.6331866775648,4.320741667752,80.0829666987306,250498612.3353342,200606720.297288
2023-05-28,2.6429450859504,4.3268406765408,80.1073627230476,250567835.01099855,200723284.4595481
2023-05-29,2.5901565498144,4.2893993587104,79.69712472119478,250548453.63192368,199679913.57805908
2023-05-30,2.638848247344,4.3242801520176,80.09712062492869,248933094.727942,199388241.15960768
2023-05-31,2.7072908533728,3.651552509688,79.6262016591988,250356772.70639887,199349588.7026592
2023-06-01,2.7120407836176,3.6562046467968,79.76590545184524,249662868.6237707,199145847.7348016
2023-06-02,2.7409564479168,3.684524990256,80.61636622899644,248152625.03545183,200051629.00544816
2023-06-03,2.7421584141744,3.6857022102144,80.65171813525312,248440351.06969664,200371411.67896503
2023-06-04,2.770321768272,3.7132857308016,81.4800521117464,245780276.1731036,200261897.10623905
2023-06-05,3.0584432862144,3.9954753334512,89.9542143705572,222803389.79073876,200421038.87722927
2023-06-06,4.2073374485808,3.9969999949824,96.29071992248016,204853716.03415036,197255117.95723653
2023-06-07,3.6785847242304,3.9969999949824,95.5902430656332,208662230.15668795,199460732.992949
2023-06-08,3.0686423408208,3.9969999949824,90.24989658069296,217517574.127889,196309385.695252
2023-06-09,3.062518718184,3.9969999949824,90.07408002083189,217898330.7439336,196269916.79834765
2023-06-10,3.0929676501888,3.9969999949824,90.969636838171,214330006.1783407,194975228.255666
