date,Lido_APY,Lido_TVL
2023-02-08,5.1,8334264841.0
2023-02-09,5.4,7839454933.0
2023-02-10,5.1,7681386223.0
2023-02-11,4.8,7769949290.0
2023-02-12,4.4,7657049802.0
2023-02-13,5.0,7574235205.0
2023-02-14,4.8,7916797626.0
2023-02-15,6.5,8504350968.0
2023-02-16,5.3,8610763753.0
2023-02-17,5.0,8626600457.0
2023-02-18,5.4,8695335093.0
2023-02-19,5.0,8689677236.0
2023-02-20,4.9,8805981338.0
2023-02-21,5.0,8518937163.0
2023-02-22,5.3,8433148902.0
2023-02-23,5.0,8543493058.0
2023-02-24,4.7,8334585062.0
2023-02-25,4.5,8501429801.0
2023-02-26,4.1,8975443870.0
2023-02-27,4.0,9157302947.0
2023-02-28,4.6,9119343201.0
2023-03-01,4.4,9392012530.0
2023-03-02,4.8,9357036499.0
2023-03-03,5.2,8892671081.0
2023-03-04,4.4,8893195751.0
2023-03-05,4.4,8949243946.0
2023-03-06,4.2,8951541051.0
2023-03-07,5.0,8854505893.0
2023-03-08,4.6,8887470447.0
2023-03-09,4.5,8296217480.0
2023-03-10,5.4,8156017042.0
2023-03-11,6.2,8444113663.0
2023-03-12,6.2,8901295766.0
2023-03-13,6.7,9668155721.0
2023-03-14,6.6,9817252564.0
2023-03-15,6.6,9584519671.0
2023-03-16,6.7,9677336666.0
2023-03-17,7.1,10229989095.0
2023-03-18,6.4,10353695377.0
2023-03-19,5.6,10516009677.0
2023-03-20,5.9,10243387759.0
2023-03-21,5.5,10485051230.0
2023-03-22,5.4,10071707518.0
2023-03-23,5.3,10630295091.0
2023-03-24,5.2,10226382797.0
2023-03-25,5.0,10168213566.0
2023-03-26,5.0,10323628746.0
2023-03-27,4.4,10061552075.0
2023-03-28,4.5,10389190920.0
2023-03-29,4.5,10601059651.0
2023-03-30,4.5,10547319332.0
2023-03-31,4.5,10747720943.0
2023-04-01,4.5,10730333898.0
2023-04-02,4.5,10521211443.0
2023-04-03,4.4,10644717155.0
2023-04-04,4.3,11061158560.0
2023-04-05,4.3,11281430579.0
2023-04-06,4.2,11015495421.0
2023-04-07,4.2,10972797807.0
2023-04-08,4.1,10956038463.0
2023-04-09,4.7,10990326485.0
2023-04-10,4.7,11164927923.0
2023-04-11,4.7,11215594575.0
2023-04-12,4.8,11325762663.0
2023-04-13,4.7,11939247779.0
2023-04-14,4.9,12548948812.0
2023-04-15,4.8,12487763395.0
2023-04-16,4.3,12775329334.0
2023-04-17,4.3,12503331778.0
2023-04-18,4.4,12625056127.0
2023-04-19,4.6,11943749104.0
2023-04-20,4.8,11805390053.0
2023-04-21,5.0,11206169357.0
2023-04-22,5.0,11469532739.0
2023-04-23,5.0,11301073938.0
2023-04-24,5.1,11250425168.0
2023-04-25,5.1,11476878109.0
2023-04-26,5.0,11522541503.0
2023-04-27,4.8,11811904152.0
2023-04-28,4.7,11734602500.0
2023-04-29,4.7,11809665804.0
2023-04-30,4.6,11754875552.0
2023-05-01,4.8,11344653069.0
