date,timestamp,X_USDC_Depeg_Risk,balance_usdc_normalized,balance_dai_normalized,balance_usdt_normalized,balance_total_normalized,raw_balance_usdc,raw_balance_dai,raw_balance_usdt
2023-05-03 23:47:11,1683157631,0.39152937557350830491744681173293777365320665380135,156340504.217450,157109550.110745670473437729,85857159.820025,399307214.148220670473437729,156340504217450,157109550110745670473437729,85857159820025
2023-05-04 23:14:11,1683242051,0.38292301993301041951070146308036951305180430246725,151819514.382821,156391885.937695618869324553,88263887.086808,396475287.407324618869324553,151819514382821,156391885937695618869324553,88263887086808
2023-05-05 23:37:59,1683329879,0.44088660229375548919323768666936915259922522855950,175392339.255515,156577512.424450502846068958,65847497.141748,397817348.821713502846068958,175392339255515,156577512424450502846068958,65847497141748
2023-05-06 22:41:11,1683412871,0.47149600517915641145003998779952557703212070505864,187619531.134758,160381378.310496796090709987,49922994.625719,397923904.070973796090709987,187619531134758,160381378310496796090709987,49922994625719
2023-05-07 23:14:11,1683501251,0.44478947987207011094105337810680354910601541047918,176768805.689540,164002942.990221652787913597,56649534.171582,397421282.851343652787913597,176768805689540,164002942990221652787913597,56649534171582
2023-05-08 23:59:59,1683590399,0.42238502557801065578206232091637006244529265713846,167703715.582376,165686242.586908854044543478,63649959.031574,397039917.200858854044543478,167703715582376,165686242586908854044543478,63649959031574
2023-05-09 23:48:59,1683676139,0.40118814469676502276695316898247553981931377719825,157806445.947174,165328132.907548486812331488,70213150.965287,393347729.820009486812331488,157806445947174,165328132907548486812331488,70213150965287
2023-05-10 23:39:47,1683761987,0.41593171231273857557166788734602273598275970974111,162422218.338827,164448873.258936538068859879,63631035.387692,390502126.985455538068859879,162422218338827,164448873258936538068859879,63631035387692
2023-05-11 23:51:47,1683849107,0.40930527843664296754030299035568156436876887034103,160304638.227724,157297840.191473868224941255,74048073.560033,391650551.979230868224941255,160304638227724,157297840191473868224941255,74048073560033
2023-05-12 23:46:23,1683935183,0.39594513161708410658329185774831686251719539648222,154046080.885599,153230528.477364160868368865,81782552.083113,389059161.446076160868368865,154046080885599,153230528477364160868368865,81782552083113
2023-05-13 23:57:47,1684022267,0.39241855529041533695865954019796457034023912176841,152346842.558472,152075383.634266752309576721,83803153.327670,388225379.520408752309576721,152346842558472,152075383634266752309576721,83803153327670
2023-05-14 23:48:35,1684108115,0.39025990777603133325292952401297082276469704704703,151354801.436949,151721443.308641053805987814,84754527.570922,387830772.316512053805987814,151354801436949,151721443308641053805987814,84754527570922
2023-05-15 23:56:11,1684194971,0.40759589535917391344592891054270926727075048780140,158272436.496568,150726805.240173777552867109,79307996.630068,388307238.366809777552867109,158272436496568,150726805240173777552867109,79307996630068
2023-05-16 23:56:11,1684281371,0.38618222594820723534439706233948436322525560597832,149367862.368683,150455125.943469743456901102,86957791.155195,386780779.467347743456901102,149367862368683,150455125943469743456901102,86957791155195
2023-05-17 23:55:59,1684367759,0.35884496103808782584623315606499036532938236649238,138549398.882895,145458854.967660826112213305,102089961.050083,386098214.900638826112213305,138549398882895,145458854967660826112213305,102089961050083
2023-05-18 23:53:11,1684453991,0.36640288316112411154467083599700090166117905354603,142212786.309143,136798668.699611332240889419,109120824.634377,388132279.643131332240889419,142212786309143,136798668699611332240889419,109120824634377
2023-05-19 23:41:23,1684539683,0.40639352744677901216799006515695416418595061106597,156322539.969058,136811099.711449621456542940,91524405.813413,384658045.493920621456542940,156322539969058,136811099711449621456542940,91524405813413
2023-05-20 23:55:23,1684626923,0.40271386623305717961884080992102273907015734171088,154277449.295529,137515536.876355086607799586,91301469.299997,383094455.471881086607799586,154277449295529,137515536876355086607799586,91301469299997
2023-05-21 23:37:47,1684712267,0.40261094257572284641630658747871640875443994977718,153101345.144270,148168298.795678582131682180,79001553.272916,380271197.212864582131682180,153101345144270,148168298795678582131682180,79001553272916
2023-05-22 23:59:11,1684799951,0.39276695181140359884744711145857355513678772500794,150547230.790599,146412585.257542716008700720,86339313.617146,383299129.665287716008700720,150547230790599,146412585257542716008700720,86339313617146
2023-05-23 23:58:23,1684886303,0.35815390180293237471650985640488671682497352748347,139041556.126046,143037499.313390459773603163,106138287.513178,388217342.952614459773603163,139041556126046,143037499313390459773603163,106138287513178
2023-05-24 23:58:47,1684972727,0.34919638450030214604110738638764521623017934621588,138466770.980865,139688343.818491168068941102,118374680.831289,396529795.630645168068941102,138466770980865,139688343818491168068941102,118374680831289
2023-05-25 23:37:11,1685057831,0.35527383220541115361442412830996337935646087039888,140937627.613895,140092821.058276599267325205,115670954.127481,396701402.799652599267325205,140937627613895,140092821058276599267325205,115670954127481
2023-05-26 23:51:35,1685145095,0.37745099793334662072201368168270015394776644268632,150423695.001000,141630786.861781272479916796,106470613.645280,398525095.508061272479916796,150423695001000,141630786861781272479916796,106470613645280
2023-05-27 23:53:35,1685231615,0.37589543164723647222124171138135916350029852963963,149836093.915568,150542936.065105953287991743,98232076.461778,398611106.442451953287991743,149836093915568,150542936065105953287991743,98232076461778
2023-05-28 23:26:35,1685316395,0.36443074528406263082423774481331441774040965656946,144964436.054014,149916316.258925864190251705,102902469.684476,397783221.997415864190251705,144964436054014,149916316258925864190251705,102902469684476
2023-05-29 23:29:23,1685402963,0.37518565805222732949340696231498770821903815561059,148489698.110972,149960282.228774322135091422,97326603.663637,395776584.003383322135091422,148489698110972,149960282228774322135091422,97326603663637
2023-05-30 23:56:23,1685490983,0.38793504057062281751573325061867679049796328970852,152967127.825661,152911354.189025307025615942,88432708.850305,394311190.864991307025615942,152967127825661,152911354189025307025615942,88432708850305
2023-05-31 23:59:11,1685577551,0.36620417198738770297735220222641955431310812766819,144685377.017317,151859855.193136853739630204,98549603.088965,395094835.299418853739630204,144685377017317,151859855193136853739630204,98549603088965
2023-06-01 23:50:47,1685663447,0.38467698780952269799669799676852818086867122355429,152311160.585739,145860412.997525685076058818,97774026.004194,395945599.587458685076058818,152311160585739,145860412997525685076058818,97774026004194
2023-06-02 23:58:59,1685750339,0.39944455880896003057767124763652337896190335761698,157205314.290344,149811509.977764152629092751,86542959.745697,393559784.013805152629092751,157205314290344,149811509977764152629092751,86542959745697
2023-06-03 23:41:35,1685835695,0.38958787127378205848579753892879338129527758776998,153434271.303798,151018494.559079987502748641,89384626.461824,393837392.324701987502748641,153434271303798,151018494559079987502748641,89384626461824
